id,order_id,sku
3f8b6d6a-c77a-46eb-8eb0-48f80acb9708,2c54134f-2322-4704-9f82-e2e9b77bcb19,BEV-003
1712ad2b-cf5a-4f37-accf-7ccaaa8eba2f,2c54134f-2322-4704-9f82-e2e9b77bcb19,BEV-002
2fd44e64-3817-4c66-800e-71870a0191bc,2c54134f-2322-4704-9f82-e2e9b77bcb19,JAF-001
b1b8e879-5f01-46c2-91c8-ae3bf4d2c690,2c54134f-2322-4704-9f82-e2e9b77bcb19,JAF-005
cdf60a7b-4b58-42fe-adc9-f1eb9938379e,2c54134f-2322-4704-9f82-e2e9b77bcb19,JAF-004
cb1a4224-e393-4b19-93d3-be10a8e3ad8a,3d12eb16-1bbb-47ad-a732-bf156c322fa6,BEV-001
555777ab-2954-4369-bc0c-f43f6f18a540,af9dc4a5-ec6d-4855-8ed7-770b42d18a92,BEV-002
b53a59de-1fe5-4710-8f5c-a8e5b87db0f1,076defc6-8848-4910-b44c-e7630c0443dc,BEV-005
8dffd371-3138-47f9-b0f7-3c23ffbe1a20,aac5bf3e-373d-4949-ac09-9e440a1eb4ff,BEV-004
bbede854-48ae-48bd-9b13-9d72a2e9714e,8da1c198-0634-45a7-be99-b47d86919597,BEV-001
d4a09e8a-8a84-40c8-8430-589b7aee7130,e1f9833a-54be-4011-9780-bd474ecc5514,BEV-005
48513c96-726e-413a-8e61-1d3676ac1fce,771677c2-7d89-4d0d-a631-96d112928105,BEV-002
ddd74b18-6941-4ea5-a01f-fedbbcd1c152,9ba70a32-0e21-4638-a682-b7a0f141cdb1,BEV-004
fcaa529f-d144-44b2-ad09-04fcadc5ebcc,ddcddb38-d87a-4b58-b877-cedc2b1f0f79,BEV-001
e9d6dc21-28ed-4bb0-9613-d057b26b7838,b41d6b02-fe3f-4748-8160-86ca18c37665,BEV-004
55950dfa-f75e-4a7c-ac3c-e6a5d19c9b46,b41d6b02-fe3f-4748-8160-86ca18c37665,BEV-005
6fd3c78f-fe29-420c-b922-663727af65aa,b41d6b02-fe3f-4748-8160-86ca18c37665,BEV-003
5b371873-8f91-4c2c-ae17-a32342f238b6,b41d6b02-fe3f-4748-8160-86ca18c37665,JAF-004
