id,customer,ordered_at,store_id,subtotal,tax_paid,order_total
2c54134f-2322-4704-9f82-e2e9b77bcb19,96c8937f-d99c-4515-acec-db24d07768f9,2016-09-01T09:35:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,4800,288,5088
3d12eb16-1bbb-47ad-a732-bf156c322fa6,7cd5e7f3-39c8-48ce-950a-1b70449e7829,2016-09-01T19:58:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
af9dc4a5-ec6d-4855-8ed7-770b42d18a92,dd3b89f6-3929-46fc-91cb-d62cee594688,2016-09-01T07:30:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
076defc6-8848-4910-b44c-e7630c0443dc,026f0a0c-400a-4482-a51f-c8bd57fb07df,2016-09-01T14:13:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
aac5bf3e-373d-4949-ac09-9e440a1eb4ff,7c76af9c-d5fd-460e-82d9-5a7b2a4a118b,2016-09-01T07:49:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
8da1c198-0634-45a7-be99-b47d86919597,5498fa51-5a08-411e-a034-3148ad7c5716,2016-09-01T09:27:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
e1f9833a-54be-4011-9780-bd474ecc5514,d1747387-f31d-48d2-822b-699d6eb93a2b,2016-09-01T08:00:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
771677c2-7d89-4d0d-a631-96d112928105,a40cca2b-cb31-42ad-8158-39b67128d0e4,2016-09-01T07:50:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
9ba70a32-0e21-4638-a682-b7a0f141cdb1,6fb49b2f-4596-4be6-add0-f39f914cbd7f,2016-09-01T07:57:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
ddcddb38-d87a-4b58-b877-cedc2b1f0f79,90831ddd-286f-4f2d-9c72-bfd03c07460c,2016-09-01T13:25:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
b41d6b02-fe3f-4748-8160-86ca18c37665,99f1a605-b7a8-445f-ba72-52d309e7078d,2016-09-01T15:27:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,3100,186,3286
86ffeb44-c4fa-4498-9591-3b931189e5f6,c8561416-e50b-42c5-9d99-12c614d3c1e4,2016-09-01T10:12:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1200,72,1272
c2d44c7a-8db0-4a6b-a1ac-6792d8fe04b1,ca15efb7-c4fa-42f4-8445-ab1d8c7193cd,2016-09-01T07:23:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
24d7adb9-38f2-4a7e-bfe1-1ebe1e46a182,b0d4d79d-25cc-4383-88ed-1fc342166ccf,2016-09-01T08:37:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
f12a614e-d915-460d-8d85-0bf2d1302779,907024d1-9f03-490a-a92f-686ea99c55f2,2016-09-01T18:05:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1200,72,1272
20d6e427-5c3c-4899-aa5c-57bd940e8924,3d03656b-09e3-4786-a347-4f45e4218db9,2016-09-01T17:08:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
9ceaa3c6-a457-4170-b516-ef2284e11d21,545b7872-c4e0-4687-8b2f-1d13c03ca2ab,2016-09-01T07:42:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
00923884-9543-4c1e-8ed4-eb466e40e487,e3afd136-901c-4557-ad38-9721b1da3d6d,2016-09-01T07:40:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
4dd1f6c1-9bff-4b62-abb5-574bac7727ac,a1d0024c-8d49-47f7-99b3-14c942239ebf,2016-09-01T11:03:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
2f855f1f-664e-4dc7-8985-6ce0d7f7e3d4,9c1547b6-05dc-4534-a60f-c75d32b243f3,2016-09-01T11:50:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2700,162,2862
b9749bd8-4618-4886-b674-3defd8f10b52,89e063d4-d84b-436d-a7ae-826f80d9d013,2016-09-01T14:16:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1900,113,2013
2c85385f-7559-4613-b587-dfb7c3fc6157,7ddb6348-6ba6-4304-87da-af57df7e7142,2016-09-01T09:44:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
30ec5776-e4fe-409f-8a63-03ce441d0e9f,c074e00d-755a-4ee3-9efb-9d6786b9517e,2016-09-01T07:44:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
791dc206-daf2-488b-8d02-be288b76f429,ab7dbeec-fce2-4391-ae75-05274a0e7e75,2016-09-01T12:38:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,900,54,954
7e9de14e-2aaf-4344-a14f-2e45ac71c74a,d7093e25-a54d-4730-8fcf-0258e220b078,2016-09-01T14:11:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
7e632566-5441-4697-b516-782fdfe4f76d,14cf5ae6-46f6-4727-8b31-099c771e67e7,2016-09-01T07:56:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
90d4622e-ecc7-4c5b-9e1a-0f885c5a7585,9f0be1ee-2d27-495e-b63e-6ef23b4f8f40,2016-09-01T07:57:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
9b374609-b335-4a0b-a62e-4b2656f7034f,b028022d-60ff-416a-9106-f3e73dac72d2,2016-09-01T08:14:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
1d70ba85-01c4-4e1a-ab3f-6dcfbb89f038,1171575c-dd12-412e-a49f-54613cdf14ef,2016-09-01T19:27:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
52901d66-baef-4c0a-8b0a-408d883575e2,c0989acc-466e-4107-9990-879c0a599f7f,2016-09-01T14:15:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1300,78,1378
4c8b04f6-21e2-4d2a-8cf9-79fb6b9fb219,dd7021b7-00fa-43cb-a061-6f601d08380d,2016-09-01T07:00:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
49d5d50b-a8bd-48ea-89a8-9b3a26314880,0551e79c-9e23-4566-8ae7-f3f82d3108f1,2016-09-01T13:43:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2400,144,2544
10a1b110-60f0-4ee6-ac1f-84df2d8296bd,7db5dfa7-a22a-4256-a935-6d66bc0bc58b,2016-09-01T08:04:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
6e13e46c-d121-4b99-80c3-c0184e29aa6f,ed0eaab6-7120-4997-a4cd-a2e3f2175075,2016-09-01T16:19:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1700,102,1802
a9c8716d-53b5-4cfe-8249-3d8a2614c035,3dd5e6a2-b23b-4ee5-b866-34d2e0a1cd88,2016-09-01T07:27:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
525ceb17-ac54-4205-84b4-22f0f0f086c7,850a8d12-72ae-40a5-a31b-f36a4477b4b0,2016-09-01T08:20:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
a1d066a5-cb85-4ace-9f1d-7f195f61f1bd,c93c6590-67d9-4158-aa3c-56b31e7fa654,2016-09-01T08:07:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
042a7f24-c79e-41eb-89bf-bb37ce90603a,db0d9043-952a-495e-8608-815fdef24bb9,2016-09-01T07:49:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
092b4453-0df9-4054-94aa-3c08d0deda7f,13b40b8c-ccde-403f-bd97-e6059d0b457c,2016-09-01T09:43:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2400,144,2544
a9296376-345a-4c19-9357-f2634e5e4b51,6d40ab23-e87a-415a-8bb6-ad0748a3142e,2016-09-01T16:23:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1800,108,1908
